00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
01;298;----;Nordli-Holand;;Norway;6;64-27N;013-43E;;;433;;
01;304;----;Ytteroyane Fyr;;Norway;6;61-34N;004-41E;;;26;25;
01;306;----;Hellisoy Fyr;;Norway;6;60-45N;004-43E;;;23;23;
01;310;ENFL;Floro;;Norway;6;61-35N;005-02E;;;0;9;
01;311;ENBR;Bergen / Flesland;;Norway;6;60-17N;005-14E;;;5;50;P
01;317;----;Bergen / Florida;;Norway;6;60-23N;005-20E;;;12;36;P
01;319;----;Takle;;Norway;6;61-02N;005-23E;;;38;;
01;320;ENSD;Sandane / Anda;;Norway;6;61-50N;006-07E;;;6;60;
01;321;----;Stryn;;Norway;6;61-54N;006-33E;;;;208;
01;322;----;Forde-Tefre;;Norway;6;61-28N;005-55E;;;64;64;
01;323;----;Forde / Bringelandsasen;;Norway;6;61-24N;005-46E;;;31;319;
01;325;----;Modalen Ii;;Norway;6;60-50N;005-57E;;;114;;
01;328;----;Kvamskogen;;Norway;6;60-24N;005-55E;;;408;;
01;330;----;Omastrand;;Norway;6;60-13N;005-59E;;;1;6;
01;336;ENBM;Voss-Bo;;Norway;6;60-39N;006-30E;;;125;122;
01;338;----;Vangsnes;;Norway;6;61-10N;006-39E;;;;51;
01;341;----;Eidfjord-Bu;;Norway;6;60-28N;006-52E;;;117;119;
01;344;----;Reimegrend;;Norway;6;60-41N;006-45E;;;590;;
01;347;ENSG;Sogndal / Haukasen;;Norway;6;61-09N;007-08E;;;49;497;
01;350;----;Finsevatn;;Norway;6;60-36N;007-32E;;;;1208;
01;355;----;Laerdal-Tonjum;;Norway;6;61-04N;007-31E;;;24;36;
01;357;----;Fortun;;Norway;6;61-30N;007-42E;;;35;35;
01;360;----;Brata;;Norway;6;61-54N;007-52E;;;712;711;
01;364;----;Geilo-Geilostolen;;Norway;6;60-31N;008-13E;;;810;;
01;366;----;Sognefjell;;Norway;6;61-34N;008-00E;;;1415;;
01;367;----;Fagernes;;Norway;6;60-59N;009-14E;;;365;365;P
01;368;ENFG;Fagernes Leirin;;Norway;6;61-00N;009-18E;;;822;;
01;370;----;Skabu-Storslaen;;Norway;6;61-31N;009-23E;;;865;;
01;372;----;Nesbyen-Skoglund;;Norway;6;60-34N;009-08E;;;167;167;
01;374;----;Vest-Torpa Ii;;Norway;6;60-56N;010-02E;;;542;;
01;375;----;Kvitfjell;;Norway;6;61-29N;009-58E;;;1028;;
01;378;----;Lillehammer-Saetherengen;;Norway;6;61-06N;010-28E;;;239;;
01;379;----;Sor-Nesset;;Norway;6;61-53N;010-09E;;;739;;
01;380;----;Venabu;;Norway;6;61-39N;010-07E;;;940;;
01;383;----;Evenstad-Overenget;;Norway;6;61-24N;011-09E;;;255;;
01;384;ENGM;Oslo / Gardermoen;;Norway;6;60-12N;011-05E;60-12N;011-06E;20;204;P
01;389;----;Haugedalshogda;;Norway;6;61-10N;011-27E;;;240;;
01;391;----;Flisa;;Norway;6;60-37N;012-01E;;;184;188;
01;393;----;Drevsjo;;Norway;6;61-53N;012-03E;;;672;674;
01;397;----;Trysil Vegstasjon;;Norway;6;61-18N;012-16E;;;;360;
01;400;----;Ekofisk;;Norway;6;56-32N;003-13E;56-32N;003-13E;46;46;
01;403;----;Utsira Fyr;;Norway;6;59-18N;004-53E;;;55;56;P
01;406;----;Slatteroy Fyr;;Norway;6;59-55N;005-04E;;;15;16;P
01;408;ENHD;Haugesund / Karmoy;;Norway;6;59-21N;005-13E;;;2;24;
01;412;----;Obrestad;;Norway;6;58-39N;005-34E;;;26;26;
01;415;ENZV;Stavanger / Sola;;Norway;6;58-53N;005-38E;58-52N;005-40E;0;9;P
01;417;----;Nedre Vats;;Norway;6;59-29N;005-45E;;;64;65;
01;423;----;Fister-Tonnevik;;Norway;6;59-10N;006-03E;;;50;;
01;424;----;Sauda;;Norway;6;59-39N;006-22E;;;5;6;
01;425;----;Ualand-Bjuland;;Norway;6;58-33N;006-21E;;;196;201;
01;426;----;Lista Fyr;;Norway;6;58-07N;006-34E;;;;14;
01;427;----;Lista Fyr;;Norway;6;58-07N;006-34E;;;14;14;P
01;428;ENLI;Lista Flyplass;;Norway;6;58-06N;006-38E;;;1;10;
01;432;----;Sirdal-Tjorhom;;Norway;6;58-53N;006-51E;;;500;;
01;433;----;Midtlaeger;;Norway;6;59-50N;006-59E;;;1082;1081;
01;434;----;Vaagsli;;Norway;6;59-46N;007-22E;;;;822;
01;436;----;Lindesnes Fyr;;Norway;6;57-59N;007-03E;;;13;;
01;439;----;Konsmo-Hoyland;;Norway;6;58-15N;007-19E;;;260;;
01;441;----;Hovden-Lundane;;Norway;6;59-35N;007-23E;;;;836;
01;442;----;Byglandsfjord-Solbakken;;Norway;6;58-40N;007-48E;;;212;211;
01;446;----;Oyfjell-Trovatn;;Norway;6;59-34N;008-12E;;;715;714;P
01;448;----;Oksoy Fyr;;Norway;6;58-04N;008-03E;;;9;8;P
01;450;----;Mosstrand Ii;;Norway;6;59-50N;008-11E;;;977;;
01;452;ENCN;Kristiansand / Kjevik;;Norway;6;58-12N;008-05E;;;1;17;P
01;453;----;Kristiansand / Kjevik;;Norway;6;58-13N;008-05E;;;;16;
01;455;----;Tveitsund;;Norway;6;59-02N;008-31E;;;252;255;P
01;459;----;Nelaug;;Norway;6;58-39N;008-38E;;;142;;
01;465;----;Torungen Fyr;;Norway;6;58-24N;008-48E;;;12;15;
